,gene_id,gene_name,EntrezGene,logFC,logCPM,LR,PValue,FDR,topDE
13922,ENSMUSG00000047230,Cldn2,12738,7.583017513,5.621251621,138.0382506,7.15E-32,5.02E-28,Up
9028,ENSMUSG00000032554,Trf,22041,7.28471605,7.394273176,137.8286161,7.94E-32,5.02E-28,Up
1906,ENSMUSG00000018339,Gpx3,14778,6.519295227,7.153431354,118.7234862,1.20E-27,5.08E-24,Up
1968,ENSMUSG00000018623,Mmp7,17393,6.355862185,6.437051228,113.6136818,1.58E-26,5.01E-23,Up
7246,ENSMUSG00000029368,Alb,11657,6.390385186,4.840081662,109.3193626,1.38E-25,3.49E-22,Up
11879,ENSMUSG00000040405,Havcr1,171283,6.364824083,4.561041568,107.3521911,3.73E-25,7.86E-22,Up
2250,ENSMUSG00000019997,Ccn2,14219,6.066994981,6.189330219,106.2493965,6.50E-25,1.17E-21,Up
11882,ENSMUSG00000040412,Elapor1,229722,5.806543921,6.027747688,99.75528077,1.72E-23,2.73E-20,Up
10860,ENSMUSG00000037852,Cpe,12876,5.770008628,5.761753305,98.40401976,3.41E-23,4.80E-20,Up
13995,ENSMUSG00000047517,Dmbt1,12945,5.644113916,8.795722911,97.83223198,4.55E-23,5.76E-20,Up
34010,ENSMUSG00000098557,Kctd12,239217,5.613530236,5.033329272,93.09132593,4.99E-22,5.74E-19,Up
17227,ENSMUSG00000061462,Obscn,380698,-5.554612255,4.098532203,89.50147709,3.06E-21,3.23E-18,Down
14413,ENSMUSG00000049047,Armcx3,71703,5.326344742,4.257595305,84.32202969,4.20E-20,4.09E-17,Up
15068,ENSMUSG00000051497,Kcnj16,16517,5.06444117,5.18437296,80.86706935,2.41E-19,2.18E-16,Up
5463,ENSMUSG00000026288,Inpp5d,16331,5.146790522,3.323229918,76.55018402,2.15E-18,1.81E-15,Up
2066,ENSMUSG00000019232,Etnppl,71760,4.852834372,5.040412793,75.74882945,3.22E-18,2.55E-15,Up
5404,ENSMUSG00000026193,Fn1,14268,4.870241804,4.330661569,74.65005399,5.62E-18,4.18E-15,Up
513,ENSMUSG00000002985,Apoe,11816,5.082468788,3.162499074,74.45441045,6.21E-18,4.36E-15,Up
16421,ENSMUSG00000057722,Lepr,16847,4.952612962,3.435646267,73.28196362,1.12E-17,7.48E-15,Up
13695,ENSMUSG00000046447,Camk2n1,66259,4.980915573,3.255299321,72.98970292,1.30E-17,8.24E-15,Up
3363,ENSMUSG00000021913,Ogdhl,239017,5.010098975,3.092683742,72.70200959,1.51E-17,9.08E-15,Up
7006,ENSMUSG00000028970,Abcb1b,18669,4.64787124,5.865676422,71.97611475,2.18E-17,1.25E-14,Up
21008,ENSMUSG00000075520,Malrd1,102635496,4.564648917,5.033580584,69.13534017,9.19E-17,5.06E-14,Up
10333,ENSMUSG00000036422,Pcdh8,18530,4.597974644,3.704519033,67.02487267,2.68E-16,1.41E-13,Up
20058,ENSMUSG00000072875,Gpr27,14761,4.596604289,3.014711631,64.39877775,1.02E-15,5.14E-13,Up
15459,ENSMUSG00000053279,Aldh1a1,11668,4.425554358,3.872223045,63.84996426,1.34E-15,6.53E-13,Up
7709,ENSMUSG00000030222,Rerg,232441,4.36379842,3.27432367,60.80733956,6.29E-15,2.95E-12,Up
4797,ENSMUSG00000024990,Rbp4,19662,4.481668065,2.685355939,60.67005929,6.75E-15,3.05E-12,Up
14299,ENSMUSG00000048583,Igf2,16002,4.389346454,2.64455662,58.75537285,1.79E-14,7.79E-12,Up
7566,ENSMUSG00000029919,Hpgds,54486,4.152075026,3.961530902,58.20152253,2.37E-14,9.98E-12,Up
