gene_id	gene_name	Minus_cre_p53mut	Plus_cre_p53mut
ENSMUSG00000000001	Gnai3	5696.53903605362	6123.07892901725
ENSMUSG00000000003	Pbsn	0	0
ENSMUSG00000000028	Cdc45	880.054157110987	533.818635086327
ENSMUSG00000000031	H19	4.5942940707924	0.907577463080184
ENSMUSG00000000037	Scml2	17.9030370748988	0
ENSMUSG00000000049	Apoh	346.513816234759	16.2713031602519
ENSMUSG00000000056	Narf	1209.98223590998	1025.08613654547
ENSMUSG00000000058	Cav2	2001.23177836248	983.12490894621
ENSMUSG00000000078	Klf6	2653.06336998622	2024.0086019392
ENSMUSG00000000085	Scmh1	12890.8736214924	9779.7393894865
ENSMUSG00000000088	Cox5a	22373.6113066236	23773.7810238134
ENSMUSG00000000093	Tbx2	199.313776063285	9.54814112353948
ENSMUSG00000000094	Tbx4	16.7474780808357	1.64732017418252
ENSMUSG00000000103	Zfy2	0	0
ENSMUSG00000000120	Ngfr	380.471627373651	140.230848860687
ENSMUSG00000000125	Wnt3	2.20855238803691	0
ENSMUSG00000000126	Wnt9a	12.2093364931308	4.50222243060563
ENSMUSG00000000127	Fer	678.37485694558	816.302796777834
ENSMUSG00000000131	Xpo6	2267.08362733077	1863.79189143715
ENSMUSG00000000134	Tfe3	1672.19844505058	1261.83334080622
ENSMUSG00000000142	Axin2	84.6124556549723	45.5615590731851
ENSMUSG00000000148	Brat1	739.110484208868	531.986089388168
ENSMUSG00000000149	Gna12	2184.44510609323	1603.39704666672
ENSMUSG00000000154	Slc22a18	1349.36129644243	1156.06078841698
ENSMUSG00000000157	Itgb2l	261.983507095117	23.7703696720619
ENSMUSG00000000159	Igsf5	2657.00734307465	1443.81722488139
ENSMUSG00000000167	Pih1d2	369.993950170565	318.198403153992
ENSMUSG00000000168	Dlat	3330.22973952066	3236.12879233037
ENSMUSG00000000171	Sdhd	10867.4318568677	10772.676668873
ENSMUSG00000000182	Fgf23	1.98971890729654	0.979900991070636
ENSMUSG00000000183	Fgf6	1.06347160852129	0
ENSMUSG00000000184	Ccnd2	125.640106219526	118.890660146704
ENSMUSG00000000194	Gpr107	1972.82292067491	2116.34294594861
ENSMUSG00000000197	Nalcn	3.89561209821371	0
ENSMUSG00000000202	Btbd17	560.684021325238	488.141247950757
ENSMUSG00000000204	Slfn4	143.970533545484	21.1147159748125
ENSMUSG00000000214	Th	2.0289450438074	0
ENSMUSG00000000215	Ins2	28.4996017122723	0
ENSMUSG00000000216	Scnn1g	976.170684818398	643.800306387007
ENSMUSG00000000223	Drp2	12.2117545426417	6.11172457679314
ENSMUSG00000000244	Tspan32	26.4024811058647	1.95648945414171
ENSMUSG00000000247	Lhx2	19.9973366235436	1.77722648056537
ENSMUSG00000000248	Clec2g	3.61800658074902	0
ENSMUSG00000000253	Gmpr	3271.90443744349	2394.26989724471
ENSMUSG00000000263	Glra1	3.01718844532156	0
ENSMUSG00000000266	Mid2	918.719843479643	748.095636914838
ENSMUSG00000000275	Trim25	4739.09083842217	4493.79226768194
ENSMUSG00000000276	Dgke	251.661055237026	227.670767124343
ENSMUSG00000000278	Scpep1	5457.48085486763	8698.77598479801
ENSMUSG00000000282	Mnt	1480.05425295528	1044.93381056045
ENSMUSG00000000290	Itgb2	320.258164468643	43.4388911310653
ENSMUSG00000000295	Hddc2	2785.71884234937	2464.26786495307
ENSMUSG00000000296	Tpd52l1	1354.65924292091	725.499558418621
ENSMUSG00000000301	Pemt	765.801855063248	987.530019097629
ENSMUSG00000000303	Cdh1	26991.5021150726	19713.3128001079
ENSMUSG00000000305	Cdh4	407.741113565273	175.50446889043
ENSMUSG00000000308	Ckmt1	4041.04125295863	3191.71910966024
ENSMUSG00000000317	Bcl6b	95.6651584653685	31.0324248055032
ENSMUSG00000000318	Clec10a	69.543641279067	10.5407401386084
ENSMUSG00000000320	Alox12	187.646015492563	682.420683872308
ENSMUSG00000000326	Comt	5454.46527845532	2425.35758605901
ENSMUSG00000000339	Rtca	2096.60764407108	2215.76322901948
ENSMUSG00000000340	Dbt	1438.03788881292	1778.24519334284
ENSMUSG00000000346	Dazap2	14614.7361123938	15217.3896383726
ENSMUSG00000000355	Mcts1	3912.03905039826	2595.1311054662
ENSMUSG00000000359	Rem1	0	0
ENSMUSG00000000365	Rnf17	25.0913609265977	0
ENSMUSG00000000374	Trappc10	1751.82911420063	1618.52265680953
ENSMUSG00000000378	Ccm2	2620.96765847488	3086.61607438851
ENSMUSG00000000381	Wap	7.19363012701455	0
ENSMUSG00000000384	Tbrg4	3359.18783028743	3112.61759729468
ENSMUSG00000000385	Tmprss2	13585.1693194262	4525.67987679933
ENSMUSG00000000386	Mx1	526.070918768881	985.004879003562
ENSMUSG00000000392	Fap	12.1594306379466	11.9280820736253
ENSMUSG00000000394	Gcg	0	0
ENSMUSG00000000399	Ndufa9	6583.15557803318	6660.36539445752
ENSMUSG00000000402	Egfl6	2787.29816452023	1299.73848828761
ENSMUSG00000000409	Lck	465.923885057382	822.664893262594
ENSMUSG00000000411	Tssk3	0	0
ENSMUSG00000000416	Cttnbp2	84.7877642445157	12.4766919191529
ENSMUSG00000000420	Galnt1	3389.22155007831	3953.30816375489
ENSMUSG00000000435	Myf5	0.849675730928711	2.79334444443123
ENSMUSG00000000439	Mkrn2	547.899793560881	755.911215477006
ENSMUSG00000000440	Pparg	132.52321848851	22.8969664561772
ENSMUSG00000000441	Raf1	3141.74895960249	2773.78744474821
ENSMUSG00000000486	Septin1	713.660916114441	225.067893039887
ENSMUSG00000000489	Pdgfb	372.372303368704	88.8194757578743
ENSMUSG00000000530	Acvrl1	1012.82260612073	817.096809739329
ENSMUSG00000000531	Tamalin	909.976377952197	1065.33445591616
ENSMUSG00000000532	Acvr1b	3229.40412755873	1575.89826110475
ENSMUSG00000000538	Tom1l2	1431.26634266165	1082.47883103949
ENSMUSG00000000544	Gpa33	228.515015141982	148.31435572922
ENSMUSG00000000552	Zfp385a	167.050748959397	103.794752338297
ENSMUSG00000000555	Itga5	1196.56434483767	963.336087512023
ENSMUSG00000000560	Gabra2	0.558032092692153	0.424390045543973
ENSMUSG00000000561	Wdr77	4251.51405884275	2912.40371225311
ENSMUSG00000000562	Adora3	13.6177159971714	0
ENSMUSG00000000563	Atp5pb	12727.5156371444	13485.5554466997
ENSMUSG00000000567	Sox9	2627.27077470145	749.645679183434
ENSMUSG00000000568	Hnrnpd	14843.0828715906	12374.5405119551
ENSMUSG00000000579	Dynlt1c	890.179940942188	484.359997239256
ENSMUSG00000000581	C1d	4955.43272064564	4226.49803438523
ENSMUSG00000000594	Gm2a	3554.63588403118	3721.10635520635
ENSMUSG00000000600	Krit1	1308.38563394236	841.283122510536
ENSMUSG00000000605	Clcn4	1239.81015282026	634.844003599389
ENSMUSG00000000606	Vmn2r88	0	0
ENSMUSG00000000617	Grm6	5.55580459160224	0
ENSMUSG00000000627	Sema4f	122.949421626224	90.8490616632063
ENSMUSG00000000628	Hk2	6435.01605845867	7950.21112829203
ENSMUSG00000000631	Myo18a	10000.5630550678	4522.72162366932
ENSMUSG00000000632	Sez6	4.93188064973688	0
ENSMUSG00000000673	Haao	59.8781600394906	5.01041943453854
ENSMUSG00000000682	Cd52	1280.73698415382	96.8340268352162
ENSMUSG00000000686	Abhd15	19.747001331119	10.1766381026565
ENSMUSG00000000690	Hoxb6	7217.01105375237	5736.95603505622
ENSMUSG00000000693	Loxl3	12.6566084846134	9.17868383398825
ENSMUSG00000000701	Tcl1b5	0	0
ENSMUSG00000000706	Btn1a1	55.149462716715	43.0991361759102
ENSMUSG00000000708	Kat2b	1691.45619436398	1244.81771260446
ENSMUSG00000000711	Rab5b	4427.52133035872	3687.45946246839
ENSMUSG00000000724	Cryba1	5.81057297479691	0
ENSMUSG00000000730	Dnmt3l	7.7150556368327	0
ENSMUSG00000000731	Aire	13.8215710045523	4.47809618500881
ENSMUSG00000000732	Icosl	914.777079415966	1394.17142920234
ENSMUSG00000000738	Spg7	4582.96006822223	4867.99900467014
ENSMUSG00000000739	Sult5a1	0.878423652892149	0
ENSMUSG00000000740	Rpl13	104097.42874508	93229.4783475217
ENSMUSG00000000743	Chmp1a	6836.6399097695	6462.90637332678
ENSMUSG00000000751	Rpa1	4539.4954267589	5184.25273305319
ENSMUSG00000000753	Serpinf1	3366.92807394	3027.32701282354
ENSMUSG00000000759	Tubgcp3	1881.43750833978	1441.69201733447
ENSMUSG00000000766	Oprm1	104.74352385008	26.1237551893512
