gene_id	gene_name	Minus_cre_p53mut	Plus_cre_p53mut
ENSMUSG00000000001	Gnai3	84.810259	110.907662
ENSMUSG00000000003	Pbsn	0	0
ENSMUSG00000000028	Cdc45	13.102275	9.669086
ENSMUSG00000000031	H19	0.0684	0.016439
ENSMUSG00000000037	Scml2	0.266541	0
ENSMUSG00000000049	Apoh	5.158909	0.294723
ENSMUSG00000000056	Narf	18.014255	18.567441
ENSMUSG00000000058	Cav2	29.794404	17.807395
ENSMUSG00000000078	Klf6	39.498894	36.660978
ENSMUSG00000000085	Scmh1	191.919747	177.140952
ENSMUSG00000000088	Cox5a	333.099055	430.61579
ENSMUSG00000000093	Tbx2	2.96739	0.172946
ENSMUSG00000000094	Tbx4	0.249337	0.029838
ENSMUSG00000000103	Zfy2	0	0
ENSMUSG00000000120	Ngfr	5.664474	2.540009
ENSMUSG00000000125	Wnt3	0.032881	0
ENSMUSG00000000126	Wnt9a	0.181773	0.081549
ENSMUSG00000000127	Fer	10.099667	14.785737
ENSMUSG00000000131	Xpo6	33.752415	33.758964
ENSMUSG00000000134	Tfe3	24.895745	22.855656
ENSMUSG00000000142	Axin2	1.259713	0.825259
ENSMUSG00000000148	Brat1	11.003901	9.635893
ENSMUSG00000000149	Gna12	32.52209	29.042418
ENSMUSG00000000154	Slc22a18	20.089335	20.939792
ENSMUSG00000000157	Itgb2l	3.900419	0.430554
ENSMUSG00000000159	Igsf5	39.557612	26.15194
ENSMUSG00000000167	Pih1d2	5.508482	5.763545
ENSMUSG00000000168	Dlat	49.580569	58.616177
ENSMUSG00000000171	Sdhd	161.79468	195.126079
ENSMUSG00000000182	Fgf23	0.029623	0.017749
ENSMUSG00000000183	Fgf6	0.015833	0
ENSMUSG00000000184	Ccnd2	1.870534	2.153473
ENSMUSG00000000194	Gpr107	29.371452	38.333435
ENSMUSG00000000197	Nalcn	0.057998	0
ENSMUSG00000000202	Btbd17	8.347482	8.841729
ENSMUSG00000000204	Slfn4	2.143438	0.382452
ENSMUSG00000000214	Th	0.030207	0
ENSMUSG00000000215	Ins2	0.424303	0
ENSMUSG00000000216	Scnn1g	14.533261	11.66119
ENSMUSG00000000223	Drp2	0.181809	0.110702
ENSMUSG00000000244	Tspan32	0.393081	0.035438
ENSMUSG00000000247	Lhx2	0.297721	0.032191
ENSMUSG00000000248	Clec2g	0.053865	0
ENSMUSG00000000253	Gmpr	48.71222	43.367541
ENSMUSG00000000263	Glra1	0.04492	0
ENSMUSG00000000266	Mid2	13.677931	13.550297
ENSMUSG00000000275	Trim25	70.555739	81.396304
ENSMUSG00000000276	Dgke	3.746738	4.123813
ENSMUSG00000000278	Scpep1	81.251153	157.561403
ENSMUSG00000000282	Mnt	22.035096	18.926943
ENSMUSG00000000290	Itgb2	4.768014	0.786811
ENSMUSG00000000295	Hddc2	41.473873	44.635418
ENSMUSG00000000296	Tpd52l1	20.168211	13.141013
ENSMUSG00000000301	Pemt	11.401283	17.887185
ENSMUSG00000000303	Cdh1	401.850364	357.068308
ENSMUSG00000000305	Cdh4	6.070463	3.178922
ENSMUSG00000000308	Ckmt1	60.163154	57.811782
ENSMUSG00000000317	Bcl6b	1.424266	0.562092
ENSMUSG00000000318	Clec10a	1.035368	0.190925
ENSMUSG00000000320	Alox12	2.79368	12.360723
ENSMUSG00000000326	Comt	81.206257	43.930634
ENSMUSG00000000339	Rtca	31.214363	40.13424
ENSMUSG00000000340	Dbt	21.409555	32.209452
ENSMUSG00000000346	Dazap2	217.584668	275.633407
ENSMUSG00000000355	Mcts1	58.242565	47.005751
ENSMUSG00000000359	Rem1	0	0
ENSMUSG00000000365	Rnf17	0.373561	0
ENSMUSG00000000374	Trappc10	26.081289	29.316389
ENSMUSG00000000378	Ccm2	39.021052	55.908045
ENSMUSG00000000381	Wap	0.107099	0
ENSMUSG00000000384	Tbrg4	50.011698	56.379012
ENSMUSG00000000385	Tmprss2	202.256444	81.973886
ENSMUSG00000000386	Mx1	7.832161	17.841447
ENSMUSG00000000392	Fap	0.18103	0.216054
ENSMUSG00000000394	Gcg	0	0
ENSMUSG00000000399	Ndufa9	98.010235	120.639561
ENSMUSG00000000402	Egfl6	41.497386	23.542234
ENSMUSG00000000409	Lck	6.93669	14.900974
ENSMUSG00000000411	Tssk3	0	0
ENSMUSG00000000416	Cttnbp2	1.262323	0.225991
ENSMUSG00000000420	Galnt1	50.458841	71.606486
ENSMUSG00000000435	Myf5	0.01265	0.050596
ENSMUSG00000000439	Mkrn2	8.15715	13.691861
ENSMUSG00000000440	Pparg	1.97301	0.414734
ENSMUSG00000000441	Raf1	46.774461	50.241763
ENSMUSG00000000486	Septin1	10.625007	4.076667
ENSMUSG00000000489	Pdgfb	5.543891	1.608792
ENSMUSG00000000530	Acvrl1	15.078936	14.800119
ENSMUSG00000000531	Tamalin	13.547758	19.296461
ENSMUSG00000000532	Acvr1b	48.079474	28.544331
ENSMUSG00000000538	Tom1l2	21.30874	19.606998
ENSMUSG00000000544	Gpa33	3.402139	2.686426
ENSMUSG00000000552	Zfp385a	2.487057	1.88004
ENSMUSG00000000555	Itga5	17.814489	17.448959
ENSMUSG00000000560	Gabra2	0.008308	0.007687
ENSMUSG00000000561	Wdr77	63.29668	52.752527
ENSMUSG00000000562	Adora3	0.202741	0
ENSMUSG00000000563	Atp5pb	189.487668	244.2646
ENSMUSG00000000567	Sox9	39.114893	13.578373
ENSMUSG00000000568	Hnrnpd	220.984302	224.140726
ENSMUSG00000000579	Dynlt1c	13.253028	8.773239
ENSMUSG00000000581	C1d	73.776644	76.554789
ENSMUSG00000000594	Gm2a	52.921535	67.400602
ENSMUSG00000000600	Krit1	19.479288	15.238207
ENSMUSG00000000605	Clcn4	18.458334	11.498964
ENSMUSG00000000606	Vmn2r88	0	0
ENSMUSG00000000617	Grm6	0.082715	0
ENSMUSG00000000627	Sema4f	1.830475	1.645554
ENSMUSG00000000628	Hk2	95.804729	144.002607
ENSMUSG00000000631	Myo18a	148.888709	81.920303
ENSMUSG00000000632	Sez6	0.073426	0
ENSMUSG00000000673	Haao	0.891468	0.090754
ENSMUSG00000000682	Cd52	19.067654	1.75396
ENSMUSG00000000686	Abhd15	0.293994	0.18433
ENSMUSG00000000690	Hoxb6	107.447096	103.913797
ENSMUSG00000000693	Loxl3	0.188432	0.166254
ENSMUSG00000000701	Tcl1b5	0	0
ENSMUSG00000000706	Btn1a1	0.821067	0.780657
ENSMUSG00000000708	Kat2b	25.182455	22.547451
ENSMUSG00000000711	Rab5b	65.917082	66.791154
ENSMUSG00000000724	Cryba1	0.086508	0
ENSMUSG00000000730	Dnmt3l	0.114862	0
ENSMUSG00000000731	Aire	0.205776	0.081112
ENSMUSG00000000732	Icosl	13.619231	25.252703
ENSMUSG00000000738	Spg7	68.231259	88.174331
ENSMUSG00000000739	Sult5a1	0.013078	0
ENSMUSG00000000740	Rpl13	1549.805915	1688.670617
ENSMUSG00000000743	Chmp1a	101.784118	117.062975
ENSMUSG00000000751	Rpa1	67.584156	93.902652
ENSMUSG00000000753	Serpinf1	50.126935	54.834139
ENSMUSG00000000759	Tubgcp3	28.010903	26.113446
ENSMUSG00000000766	Oprm1	1.559425	0.473181
ENSMUSG00000000776	Polr3d	28.482374	26.458075
ENSMUSG00000000782	Tcf7	3.287131	1.146375
ENSMUSG00000000787	Ddx3x	197.602087	191.12936
ENSMUSG00000000791	Il12rb1	0.537516	0.111559
ENSMUSG00000000792	Slc5a5	1.431017	3.954131
ENSMUSG00000000794	Kcnn3	0.327738	0.010352
ENSMUSG00000000804	Usp32	19.919959	20.519822
ENSMUSG00000000805	Car4	1.468827	0
ENSMUSG00000000811	Txnrd3	17.340793	13.69149
ENSMUSG00000000817	Fasl	0	0
ENSMUSG00000000823	Zfp512b	41.863029	34.169858
ENSMUSG00000000826	Dnajc5	102.055272	124.209521
ENSMUSG00000000827	Tpd52l2	73.373251	79.577747
ENSMUSG00000000838	Fmr1	31.185988	30.753285
ENSMUSG00000000861	Bcl11a	0.929315	0.009888
ENSMUSG00000000869	Il4	0.444509	0.089973
ENSMUSG00000000876	Pxmp4	12.781322	14.869926
ENSMUSG00000000881	Dlg3	20.982406	26.436511
ENSMUSG00000000884	Gnb1l	5.797734	3.660826
ENSMUSG00000000889	Dbh	0.01994	0
ENSMUSG00000000901	Mmp11	3.327667	2.147591
ENSMUSG00000000902	Smarcb1	66.788585	62.414023
ENSMUSG00000000903	Vpreb3	0.632256	0
ENSMUSG00000000915	Hip1r	39.842609	30.288845
ENSMUSG00000000916	Nsun5	21.992504	16.81385
ENSMUSG00000000934	Top1mt	10.349695	12.45157
ENSMUSG00000000938	Hoxa10	0.115202	0
ENSMUSG00000000942	Hoxa4	0.086093	0
ENSMUSG00000000948	Gm38393	0.208088	0.007542
ENSMUSG00000000957	Mmp14	28.713302	0.284258
ENSMUSG00000000958	Slc7a7	5.774608	23.277832
ENSMUSG00000000959	Oxa1l	45.1669	49.177016
ENSMUSG00000000976	Heatr6	12.626641	13.696675
ENSMUSG00000000982	Ccl3	0	0
ENSMUSG00000000983	Wfdc18	36.485875	1.526685
ENSMUSG00000001014	Icam4	0.075257	0.73492
ENSMUSG00000001016	Ilf2	60.651638	62.234611
ENSMUSG00000001017	Chtop	99.21712	110.781867
ENSMUSG00000001018	Snapin	46.29102	40.158279
ENSMUSG00000001020	S100a4	12.755551	4.344237
ENSMUSG00000001021	S100a3	3.146681	3.358725
ENSMUSG00000001023	S100a5	0	0
ENSMUSG00000001025	S100a6	748.501976	558.027489
ENSMUSG00000001027	Scn4a	0.559425	0.052592
ENSMUSG00000001029	Icam2	2.543333	1.281289
ENSMUSG00000001034	Mapk7	19.653593	21.476223
ENSMUSG00000001036	Epn2	33.752692	35.903681
ENSMUSG00000001039	B9d1	33.673694	30.950943
ENSMUSG00000001052	Sec24b	64.751636	71.210606
ENSMUSG00000001053	N4bp3	12.092097	9.576002
ENSMUSG00000001054	Rmnd5b	43.867027	29.378118
ENSMUSG00000001056	Nhp2	159.197964	176.435432
ENSMUSG00000001062	Vps9d1	9.718344	8.294749
ENSMUSG00000001065	Zfp276	11.949049	10.670038
ENSMUSG00000001076	C1ql4	0.037787	0
ENSMUSG00000001082	Mfsd10	81.038606	80.623743
ENSMUSG00000001089	Luzp1	15.131182	13.954952
ENSMUSG00000001095	Slc13a2	23.873146	5.35662
ENSMUSG00000001098	Kctd10	88.762201	101.362056
ENSMUSG00000001100	Poldip2	60.388819	57.597412
ENSMUSG00000001103	Sebox	0.021995	0
ENSMUSG00000001105	Ift20	97.709632	97.440858
ENSMUSG00000001119	Col6a1	0.374499	0.021668
ENSMUSG00000001120	Pcbp3	10.070966	13.223541
ENSMUSG00000001123	Lgals9	129.05033	304.9384
ENSMUSG00000001127	Araf	92.51907	100.805052
ENSMUSG00000001128	Cfp	2.243484	1.563402
ENSMUSG00000001131	Timp1	10.336427	16.762597
ENSMUSG00000001134	Uxt	26.940643	25.246619
ENSMUSG00000001138	Cnnm3	10.805289	5.57206
ENSMUSG00000001143	Lman2l	27.072341	34.091235
ENSMUSG00000001150	Mcm3ap	14.383822	14.749004
ENSMUSG00000001151	Pcnt	9.050735	7.670026
ENSMUSG00000001155	Ftcd	0.259853	0
ENSMUSG00000001156	Mxd1	9.792853	9.884493
ENSMUSG00000001157	Gmcl1	23.297222	28.49527
ENSMUSG00000001158	Snrnp27	42.904442	62.640781
ENSMUSG00000001166	Oas1c	8.301124	12.455169
ENSMUSG00000001168	Oas1h	0.350584	0.171901
ENSMUSG00000001173	Ocrl	8.833813	10.764424
ENSMUSG00000001175	Calm1	324.980392	528.968618
ENSMUSG00000001211	Agpat3	69.943135	99.469393
ENSMUSG00000001225	Slc26a3	0.176524	0
ENSMUSG00000001227	Sema6b	2.602743	2.549564
ENSMUSG00000001228	Uhrf1	41.791431	47.363829
ENSMUSG00000001229	Dpp9	39.622893	42.700078
ENSMUSG00000001240	Ramp2	15.142421	26.596885
ENSMUSG00000001247	Lsr	131.365516	120.077029
ENSMUSG00000001248	Gramd1a	22.988178	9.482192
ENSMUSG00000001249	Hpn	52.261973	16.920824
ENSMUSG00000001260	Gabrg1	0.014459	0
ENSMUSG00000001270	Ckb	8.616338	1.333785
ENSMUSG00000001280	Sp1	21.504939	19.187468
ENSMUSG00000001281	Itgb7	0.42942	0.091371
ENSMUSG00000001285	Myg1	46.202678	51.059816
ENSMUSG00000001288	Rarg	33.242024	28.983066
ENSMUSG00000001289	Pfdn5	128.722625	137.155752
ENSMUSG00000001300	Efnb2	59.806487	43.607069
ENSMUSG00000001305	Rrp15	34.614432	34.224824
ENSMUSG00000001313	Rnd2	9.622248	8.611918
ENSMUSG00000001323	Srr	6.460861	7.438756
ENSMUSG00000001333	Sync	2.373246	6.49767
ENSMUSG00000001334	Fndc5	0.073943	0.039318
ENSMUSG00000001348	Acp5	104.754266	146.285627
ENSMUSG00000001349	Cnn1	1.175465	0.104292
ENSMUSG00000001366	Fbxo9	37.225982	33.772042
ENSMUSG00000001376	Vps50	17.502889	18.51363
ENSMUSG00000001380	Hars	62.066547	87.97984
ENSMUSG00000001383	Zmat2	57.711435	74.353758
ENSMUSG00000001403	Ube2c	109.276857	162.466221
ENSMUSG00000001415	Smg5	58.707064	48.227715
ENSMUSG00000001416	Cct3	227.661488	236.069966
ENSMUSG00000001418	Glmp	278.995799	496.650276
ENSMUSG00000001419	Mef2d	37.752751	28.661999
ENSMUSG00000001420	Tmem79	19.90982	25.577189
ENSMUSG00000001424	Snd1	172.09145	142.645876
ENSMUSG00000001435	Col18a1	53.454733	69.590409
ENSMUSG00000001436	Slc19a1	12.136951	8.827446
ENSMUSG00000001440	Kpnb1	158.315211	159.412975
ENSMUSG00000001441	Npepps	90.049745	87.223063
ENSMUSG00000001444	Tbx21	0.020741	0
ENSMUSG00000001445	Mrpl10	53.004074	58.94158
ENSMUSG00000001467	Cyp51	223.383446	347.611404
ENSMUSG00000001472	Tcf25	147.011533	162.18677
ENSMUSG00000001473	Tubb6	42.717319	44.51973
ENSMUSG00000001482	Def8	11.036603	16.167476
ENSMUSG00000001493	Meox1	0.316627	0
ENSMUSG00000001494	Sost	0.056604	0
ENSMUSG00000001496	Nkx2-1	0.011645	0
ENSMUSG00000001497	Pax9	0.881398	0.343301
ENSMUSG00000001504	Irx2	0.21972	0.210596
ENSMUSG00000001506	Col1a1	1.025293	0.088158
ENSMUSG00000001507	Itga3	253.166885	160.758979
ENSMUSG00000001508	Sgca	0.318594	0
ENSMUSG00000001510	Dlx3	0.147736	0.153256
ENSMUSG00000001517	Foxm1	17.05251	23.550756
ENSMUSG00000001518	Itfg2	16.178023	16.548821
ENSMUSG00000001520	Nrip2	0.90139	1.207649
ENSMUSG00000001521	Tulp3	14.054754	16.303453
ENSMUSG00000001524	Gtf2h4	16.78819	22.715918
ENSMUSG00000001525	Tubb5	370.959511	480.324906
ENSMUSG00000001542	Ell2	42.170963	76.612139
ENSMUSG00000001552	Jup	195.005453	171.176029
ENSMUSG00000001555	Fkbp10	1.049029	0.071429
ENSMUSG00000001558	Klhl10	0.191122	0.087683
ENSMUSG00000001566	Mnx1	0.071524	0
ENSMUSG00000001569	Nom1	29.503433	25.730463
ENSMUSG00000001576	Ergic1	133.682189	134.537928
ENSMUSG00000001583	Tnk1	25.85636	26.693871
ENSMUSG00000001588	Acap1	6.390733	2.533658
ENSMUSG00000001604	Tcea3	2.42145	0.998444
ENSMUSG00000001622	Csn3	0.485004	0.410675
ENSMUSG00000001627	Ifrd1	120.551732	143.58526
ENSMUSG00000001630	Stk38l	17.461877	25.128691
ENSMUSG00000001632	Brpf1	25.455937	24.732472
ENSMUSG00000001642	Akr1b3	413.41626	888.722506
ENSMUSG00000001655	Hoxc13	0.095347	0
ENSMUSG00000001656	Hoxc11	0	0
ENSMUSG00000001657	Hoxc8	0.12105	0
ENSMUSG00000001661	Hoxc6	1.04389	0.174133
ENSMUSG00000001663	Gstt1	112.90106	151.95452
ENSMUSG00000001665	Gstt3	109.145522	101.60961
ENSMUSG00000001666	Ddt	134.623808	151.113258
ENSMUSG00000001670	Tat	0.436777	0
ENSMUSG00000001672	Marveld3	57.326049	58.104887
ENSMUSG00000001674	Ddx18	49.35654	50.136316
ENSMUSG00000001687	Ubl3	93.654624	115.360517
ENSMUSG00000001700	Gramd3	148.297391	155.054201
ENSMUSG00000001707	Eef1e1	64.25036	72.261413
ENSMUSG00000001729	Akt1	162.902025	168.259491
ENSMUSG00000001739	Cldn15	0.331381	0.107491
ENSMUSG00000001741	Il16	0.940097	0.089742
ENSMUSG00000001750	Tcirg1	177.091759	223.666568
ENSMUSG00000001751	Naglu	36.964642	61.785434
ENSMUSG00000001755	Coasy	38.054626	32.62544
ENSMUSG00000001761	Smo	33.24649	35.077614
ENSMUSG00000001763	Tspan33	43.002065	31.246298
ENSMUSG00000001767	Crnkl1	25.609863	25.598643
ENSMUSG00000001768	Rin2	27.203112	16.473723
ENSMUSG00000001773	Folh1	0.064645	0
ENSMUSG00000001774	Chordc1	74.740477	67.328387
ENSMUSG00000001783	Rtcb	123.980685	133.888737
ENSMUSG00000001785	Pwp1	28.600673	30.393544
ENSMUSG00000001786	Fbxo7	16.628358	17.44123
ENSMUSG00000001794	Capns1	215.286768	165.783279
ENSMUSG00000001802	Lrp3	0.797499	0.084329
ENSMUSG00000001804	Dsg4	0.028798	0
ENSMUSG00000001815	Evx2	0.421986	0.159778
ENSMUSG00000001819	Hoxd13	0.031312	0
ENSMUSG00000001823	Hoxd12	0.010163	0
ENSMUSG00000001827	Folr1	0.701059	0
ENSMUSG00000001829	Clpb	24.018098	34.454154
ENSMUSG00000001833	Septin7	81.790951	88.442578
ENSMUSG00000001844	Zdhhc4	37.582448	35.005284
ENSMUSG00000001847	Rac1	277.337093	249.200651
ENSMUSG00000001855	Nup214	20.478202	18.45445
ENSMUSG00000001864	Aif1l	16.574601	17.772552
ENSMUSG00000001865	Cpa3	0.057852	0
ENSMUSG00000001870	Ltbp1	17.652761	3.241296
ENSMUSG00000001891	Ugp2	48.306875	67.090035
ENSMUSG00000001901	Kcnh6	0.022358	0.01083
ENSMUSG00000001909	Trmt1	68.896543	59.766489
ENSMUSG00000001910	Nacc1	68.418598	75.768341
ENSMUSG00000001911	Nfix	97.213545	94.994942
ENSMUSG00000001918	Slc1a5	320.09109	115.484313
ENSMUSG00000001924	Uba1	204.597591	238.211509
ENSMUSG00000001930	Vwf	3.822298	0.34079
ENSMUSG00000001942	Siae	9.74549	15.831618
ENSMUSG00000001943	Vsig2	0.07161	0.202935
ENSMUSG00000001946	Esam	0.420611	0.309414
ENSMUSG00000001948	Spa17	5.524566	3.312857
ENSMUSG00000001962	Fam50a	63.930359	96.056553
ENSMUSG00000001964	Emd	64.728291	82.930747
ENSMUSG00000001983	Taco1	14.219716	18.309085
ENSMUSG00000001985	Grik3	0.037371	0.00319
ENSMUSG00000001986	Gria3	0.181849	0.005651
ENSMUSG00000001988	Npas1	0.353427	0.144679
ENSMUSG00000001995	Sipa1l2	6.276765	7.667124
ENSMUSG00000001998	Ap4e1	5.107787	7.132716
ENSMUSG00000001999	Blvra	26.770672	30.439176
ENSMUSG00000002006	Pdzd4	2.642312	3.705888
ENSMUSG00000002007	Srpk3	0.028304	0.032082
ENSMUSG00000002010	Idh3g	110.545335	93.417113
ENSMUSG00000002012	Pnck	1.495559	2.903469
ENSMUSG00000002014	Ssr4	405.919725	601.941274
ENSMUSG00000002015	Bcap31	261.230665	268.588295
ENSMUSG00000002017	Fam98a	50.865282	50.008983
ENSMUSG00000002020	Ltbp2	51.929917	7.369423
ENSMUSG00000002028	Kmt2a	6.328039	5.988836
ENSMUSG00000002031	Ift46	56.622943	61.909695
ENSMUSG00000002032	Tmem25	1.021867	0.727365
ENSMUSG00000002033	Cd3g	0.020281	0
ENSMUSG00000002043	Trappc6a	51.318301	46.110178
ENSMUSG00000002052	Supt6	51.094547	48.602939
ENSMUSG00000002055	Spag5	15.636698	17.833401
ENSMUSG00000002057	Foxn1	3.708712	10.588278
ENSMUSG00000002058	Unc119	22.012024	18.625135
ENSMUSG00000002059	Rab34	27.036388	24.55255
ENSMUSG00000002064	Sdf2	120.07018	117.251638
ENSMUSG00000002068	Ccne1	10.591876	7.007501
ENSMUSG00000002076	Hsf2bp	1.323424	3.182103
ENSMUSG00000002083	Bbc3	4.672106	3.001121
ENSMUSG00000002100	Mybpc3	0.01216	0.028639
ENSMUSG00000002102	Psmc3	238.616666	267.671387
ENSMUSG00000002103	Acp2	22.558673	40.604379
ENSMUSG00000002104	Rapsn	0.134877	0
ENSMUSG00000002105	Slc39a13	21.455206	20.591562
ENSMUSG00000002107	Celf2	24.057974	12.747763
ENSMUSG00000002108	Nr1h3	1.736727	2.077917
ENSMUSG00000002109	Ddb2	11.805375	11.460191
ENSMUSG00000002111	Spi1	2.009218	1.292667
ENSMUSG00000002129	Sf3a1	42.154975	44.48081
ENSMUSG00000002147	Stat6	46.399064	39.539808
ENSMUSG00000002190	Clgn	0.116017	0
ENSMUSG00000002204	Napsa	8.005459	0.847105
ENSMUSG00000002205	Vrk3	36.472496	25.325641
ENSMUSG00000002210	Smg9	15.204994	10.200304
ENSMUSG00000002221	Paxip1	22.74252	22.999171
ENSMUSG00000002222	Rmnd5a	40.408322	29.233027
ENSMUSG00000002227	Mov10	36.938104	39.08597
ENSMUSG00000002228	Ppm1j	15.153323	15.004888
ENSMUSG00000002233	Rhoc	201.087458	261.369995
ENSMUSG00000002240	Prr27	0	0
ENSMUSG00000002249	Tead3	24.724344	18.398888
ENSMUSG00000002250	Ppard	26.710912	39.534521
ENSMUSG00000002257	Def6	13.6082	11.603592
ENSMUSG00000002265	Peg3	1.201612	0
ENSMUSG00000002266	Zim1	0.274411	0.003739
ENSMUSG00000002274	Metrn	7.736401	15.717094
ENSMUSG00000002279	Lmf1	21.614893	22.940609
ENSMUSG00000002280	Ciao3	19.522579	22.491767
ENSMUSG00000002289	Angptl4	2.563025	0.281809
ENSMUSG00000002297	Dbf4	21.854376	27.561771
ENSMUSG00000002307	Daxx	36.534468	47.516909
ENSMUSG00000002308	Cd320	53.154979	88.764581
ENSMUSG00000002319	Ipo4	54.160539	55.571887
ENSMUSG00000002320	Tm9sf1	132.510788	159.538012
ENSMUSG00000002324	Rec8	19.379519	2.796588
ENSMUSG00000002325	Irf9	68.120566	90.076931
ENSMUSG00000002326	Gmpr2	18.523089	20.716048
ENSMUSG00000002329	Mdp1	29.378682	30.46949
ENSMUSG00000002332	Dhrs1	136.200562	175.033888
ENSMUSG00000002341	Ncan	0.221218	0.040068
ENSMUSG00000002342	Tmem161a	33.875371	34.632998
ENSMUSG00000002343	Armc6	8.451248	7.423773
ENSMUSG00000002345	Borcs8	46.1487	39.113341
ENSMUSG00000002346	Slc25a42	7.361401	5.548919
ENSMUSG00000002365	Snx9	48.680062	43.443167
ENSMUSG00000002372	Ranbp3	59.409971	69.313747
ENSMUSG00000002379	Ndufa11	250.67134	209.831958
ENSMUSG00000002384	Bmp8b	0.444737	0.265104
ENSMUSG00000002393	Nr2f6	80.875059	74.022334
ENSMUSG00000002395	Use1	97.655748	101.645734
ENSMUSG00000002396	Ocel1	10.112987	8.097245
ENSMUSG00000002409	Dyrk1b	12.00059	6.915675
ENSMUSG00000002413	Braf	8.306653	8.641124
ENSMUSG00000002416	Ndufb2	104.412697	138.549478
ENSMUSG00000002428	Hltf	10.068176	13.074648
ENSMUSG00000002455	Prpf6	73.856016	65.168608
ENSMUSG00000002458	Rgs19	27.693049	17.382891
ENSMUSG00000002459	Rgs20	0.109874	0.018165
ENSMUSG00000002475	Abhd3	1.221044	0.29193
ENSMUSG00000002477	Snrpd1	116.494314	131.374313
ENSMUSG00000002486	Tchp	12.91602	12.069525
ENSMUSG00000002489	Tiam1	14.658228	10.225201
ENSMUSG00000002496	Tsc2	44.050612	39.883496
ENSMUSG00000002500	Rpl3l	0.659463	0.176734
ENSMUSG00000002504	Nherf2	9.29013	5.575264
ENSMUSG00000002524	Puf60	135.110789	130.581728
ENSMUSG00000002546	Golga2	48.985823	54.353616
