task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9b/295967	187828476	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Mus_musculus.GRCm39.110.gtf.gz)	COMPLETED	0	2025-05-19 22:42:26.364	13.2s	2.8s	95.4%	4.1 MB	7.2 MB	30.9 MB	845.6 MB
2	19/affe40	187828477	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Mus_musculus.GRCm39.dna_sm.primary_assembly.fa.gz)	COMPLETED	0	2025-05-19 22:42:26.580	28s	17.9s	96.0%	3 MB	7.2 MB	822.6 MB	2.6 GB
7	66/5883f3	187828482	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (Mus_musculus.GRCm39.dna_sm.primary_assembly.fa)	COMPLETED	0	2025-05-19 22:42:55.052	19.5s	11s	96.4%	34.7 MB	54.2 MB	3.4 GB	836.6 MB
8	7b/3a7cdb	187828483	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Mus_musculus.GRCm39.dna_sm.primary_assembly.fa)	COMPLETED	0	2025-05-19 22:42:55.312	19.3s	8s	95.4%	4.5 MB	12 MB	2.6 GB	7.7 KB
11	c8/61d617	187828485	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (Mus_musculus.GRCm39.dna_sm.primary_assembly.filtered.gtf)	COMPLETED	0	2025-05-19 22:43:16.010	23.6s	14s	99.4%	1.9 GB	1.9 GB	836.8 MB	17 MB
9	e1/b25e90	187828484	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Mus_musculus.GRCm39.dna_sm.primary_assembly.fa)	COMPLETED	0	2025-05-19 22:43:15.452	39.1s	32s	98.2%	1.1 GB	1.3 GB	3.9 GB	1.3 GB
6	52/c23149	187828481	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (Plus_cre_p53mut)	COMPLETED	0	2025-05-19 22:42:27.187	4m 12s	4m 7s	576.0%	3.5 GB	4 GB	8.6 GB	7.1 GB
5	0e/d92de8	187828480	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (Minus_cre_p53mut)	COMPLETED	0	2025-05-19 22:42:27.071	5m 18s	5m 10s	577.1%	3.7 GB	4.1 GB	10.7 GB	9.1 GB
14	94/00a298	187828491	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Plus_cre_p53mut)	COMPLETED	0	2025-05-19 22:46:40.316	3m 24s	3m 13s	97.3%	13.4 MB	18.8 MB	10.6 GB	127.4 MB
16	ce/18a619	187828494	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Minus_cre_p53mut)	COMPLETED	0	2025-05-19 22:47:45.072	4m	3m 48s	98.2%	15.4 MB	20.8 MB	13.6 GB	126.9 MB
4	ee/930630	187828478	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (Plus_cre_p53mut)	COMPLETED	0	2025-05-19 22:42:26.707	9m 28s	9m 22s	197.8%	1.9 GB	6.1 GB	8.6 GB	4.6 MB
3	e3/812ab3	187828479	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (Minus_cre_p53mut)	COMPLETED	0	2025-05-19 22:42:26.821	10m 13s	10m 4s	197.0%	1.8 GB	6.1 GB	10.7 GB	4.6 MB
13	23/738054	187828490	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_TRIM (Plus_cre_p53mut)	COMPLETED	0	2025-05-19 22:46:40.202	7m 39s	7m 32s	197.2%	2 GB	6 GB	7.1 GB	4.6 MB
