Module	Section	Sample Name	Source
Picard	DuplicationMetrics	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/picard/markduplicates/Minus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/picard/markduplicates/Plus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/qualimap/Plus_cre_p53mut/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/qualimap/Minus_cre_p53mut/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/qualimap/Plus_cre_p53mut/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/qualimap/Minus_cre_p53mut/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
RSeQC	read_distribution	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/read_distribution/Minus_cre_p53mut.read_distribution.txt
RSeQC	read_distribution	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/read_distribution/Plus_cre_p53mut.read_distribution.txt
RSeQC	inner_distance	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/inner_distance/Minus_cre_p53mut.inner_distance_freq.txt
RSeQC	inner_distance	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/inner_distance/Plus_cre_p53mut.inner_distance_freq.txt
RSeQC	read_duplication	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/read_duplication/Minus_cre_p53mut.pos.DupRate.xls
RSeQC	read_duplication	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/read_duplication/Plus_cre_p53mut.pos.DupRate.xls
RSeQC	junction_annotation	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/junction_annotation/Plus_cre_p53mut.junction_annotation.log
RSeQC	junction_annotation	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/junction_annotation/Minus_cre_p53mut.junction_annotation.log
RSeQC	junction_saturation	Plus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/junction_saturation/Plus_cre_p53mut.junctionSaturation_plot.r
RSeQC	junction_saturation	Minus_cre_p53mut	/sc/arion/projects/NGSCRC/Work/Seqera/Konrad_Organoid_RNAseq/06/d862b142e13ef48180eaea27e8723b/rseqc/junction_saturation/Minus_cre_p53mut.junctionSaturation_plot.r
