UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
13	2
0	0
2	0
2	0
0	0
0	0
2	0
0	1
8	0
3	0
2	0
0	0
0	0
0	0
0	1
5	1
14	1
2	5
9	0
2	0
101	1923
10	1263
22	1428
6	1366
136	471
1	46
57	699
1	618
30	59
0	0
55	4
0	0
11	25
0	0
2	2
118	25
1	3
0	0
2	0
37	60
31	1302
214	1948
6	160
1	1151
24	0
88	206
34	1126
0	437
12	0
2	1251
1879	1934
2	1257
5	801
24	443
2	311
27	1267
0	680
96	205
1232	5323
15	5321
20	114
1	0
0	3
1	3
0	2
0	0
0	2
2	3
0	0
2	0
5	0
0	0
1	0
0	2762
65	4251
114	667
31	2556
3	292
0	116
11	3376
9	1228
0	0
1	0
0	0
1	1
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
1	0
1	0
22	0
1	75
0	205
173	74
0	12
0	62
80	3490
2	171
0	29
8	1402
0	2855
7	443
0	1092
10	15
0	341
0	7
1	83
7	307
60	11
0	399
1	0
0	7
0	0
9	39
0	29
0	29
0	29
0	0
0	0
0	29
0	28
0	0
0	29
0	0
0	0
0	25
0	0
4	0
3	1
4	95
0	0
0	0
0	0
2	0
2	0
799	2257
6	255
0	2
0	1513
41	23
0	551
51	0
2	65
13	2133
3	1901
121	176
0	0
0	0
0	0
11	0
1	0
2	0
9	0
0	0
511	3
0	0
2	0
0	4
2	0
0	5
0	6
0	6
0	5
0	2
0	1
0	4
1	0
0	0
0	0
0	0
0	0
0	2
3	3
2	22
0	28
0	97
0	0
0	0
0	0
0	0
4	19
0	0
1	0
0	0
2	4
0	0
2	0
0	0
0	0
3998	26
24	276
6	262
0	15
0	23
0	219
95	8
0	8
30	2842
12	11
4	12
9	1
0	7
0	0
198	152
13	152
0	18
2	4
0	52
4298	551
4	570
0	291
0	0
2	0
0	8
0	0
0	8
0	8
18	1428
2	1382
1	1484
2	17
0	1118
12	1208
19	1
0	0
3	1448
0	47
0	133
2	1234
1	317
28	61
48	144
6	1
0	9
0	7
15	8
1	1
0	2
126	598
2	400
1	298
2	599
7	775
27	397
5	399
0	198
0	272
3	586
0	215
0	545
0	434
0	25
0	282
0	114
0	292
4	582
0	67
0	593
0	418
0	187
0	1
521	1124
0	1044
22	80
3	9
2	16
4	17
0	1
0	6
0	1
9	1
0	1
0	0
323	4595
0	1331
69	2776
2	1319
111	3488
9	869
48	858
6	7
0	18
315	1659
19	89
0	77
0	319
5	30
29	314
5	312
0	77
2	325
0	60
0	45
9	1440
0	52
0	0
106	15
4	103
8	43
9	46
2	42
1	14
0	19
0	363
11	18
7	60
1	18
1	156
7338	9900
1	723
3	912
46	341
7	52
0	0
