-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	4210
-150	-145	44144
-145	-140	44390
-140	-135	44076
-135	-130	43409
-130	-125	41941
-125	-120	40935
-120	-115	38456
-115	-110	37030
-110	-105	35017
-105	-100	32799
-100	-95	30367
-95	-90	28804
-90	-85	26493
-85	-80	24662
-80	-75	22491
-75	-70	21305
-70	-65	19482
-65	-60	17996
-60	-55	16893
-55	-50	15792
-50	-45	14716
-45	-40	14271
-40	-35	13367
-35	-30	12880
-30	-25	12102
-25	-20	11778
-20	-15	11206
-15	-10	10923
-10	-5	10606
-5	0	10506
0	5	9579
5	10	9350
10	15	8993
15	20	8408
20	25	8010
25	30	7519
30	35	7305
35	40	7021
40	45	6482
45	50	6276
50	55	6030
55	60	5721
60	65	5560
65	70	5349
70	75	5012
75	80	4750
80	85	4604
85	90	4330
90	95	4135
95	100	4022
100	105	3939
105	110	3700
110	115	3570
115	120	3233
120	125	3174
125	130	3080
130	135	2846
135	140	2773
140	145	2629
145	150	2676
150	155	2450
155	160	2339
160	165	2302
165	170	2216
170	175	2057
175	180	2051
180	185	2009
185	190	1940
190	195	1881
195	200	1772
200	205	1690
205	210	1646
210	215	1538
215	220	1507
220	225	1416
225	230	1453
230	235	1393
235	240	1375
240	245	1289
245	250	1261
