## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Minus_cre_p53mut.sorted.bam --OUTPUT Minus_cre_p53mut.markdup.sorted.bam --METRICS_FILE Minus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.GRCm39.dna_sm.primary_assembly.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 20 04:06:08 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	17	75193719	16502657	0	11	26447470	10980160	0.351724	110897596

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.120191	35660501	0	41678179
2.0	1.688809	8503650	6085095	4866553
3.0	1.977444	2522465	1363745	1052626
4.0	2.123957	910659	366289	406752
5.0	2.198328	397678	112164	211889
6.0	2.23608	207463	40315	126901
7.0	2.255242	124491	17210	83943
8.0	2.26497	82162	8418	58888
9.0	2.269907	57687	4948	43064
10.0	2.272414	43632	3164	32790
11.0	2.273686	33296	2157	25426
12.0	2.274332	26602	1645	20601
13.0	2.27466	21515	1245	16636
14.0	2.274826	17366	888	13721
15.0	2.27491	14704	752	11536
16.0	2.274953	12338	605	9581
17.0	2.274975	10433	485	8101
18.0	2.274986	9127	424	6915
19.0	2.274992	7562	331	6073
20.0	2.274995	6766	309	5378
21.0	2.274996	6087	223	4761
22.0	2.274997	5231	197	4121
23.0	2.274997	4716	179	3634
24.0	2.274997	4169	165	3289
25.0	2.274997	3673	136	2938
26.0	2.274997	3288	101	2763
27.0	2.274998	3037	119	2368
28.0	2.274998	2717	112	2247
29.0	2.274998	2474	84	1951
30.0	2.274998	2337	75	1900
31.0	2.274998	2173	59	1785
32.0	2.274998	1913	61	1594
33.0	2.274998	1804	50	1425
34.0	2.274998	1630	57	1294
35.0	2.274998	1540	38	1199
36.0	2.274998	1449	34	1163
37.0	2.274998	1339	45	1064
38.0	2.274998	1303	37	965
39.0	2.274998	1151	27	919
40.0	2.274998	1088	27	870
41.0	2.274998	992	35	741
42.0	2.274998	893	23	758
43.0	2.274998	852	25	699
44.0	2.274998	779	23	624
45.0	2.274998	776	19	622
46.0	2.274998	735	16	587
47.0	2.274998	689	21	534
48.0	2.274998	648	14	537
49.0	2.274998	612	10	482
50.0	2.274998	594	14	445
51.0	2.274998	517	17	434
52.0	2.274998	480	18	434
53.0	2.274998	520	6	391
54.0	2.274998	491	14	396
55.0	2.274998	451	11	364
56.0	2.274998	431	7	335
57.0	2.274998	401	5	320
58.0	2.274998	387	13	309
59.0	2.274998	327	8	285
60.0	2.274998	382	2	278
61.0	2.274998	341	7	271
62.0	2.274998	312	6	221
63.0	2.274998	299	6	267
64.0	2.274998	292	3	232
65.0	2.274998	289	5	221
66.0	2.274998	298	2	233
67.0	2.274998	245	3	210
68.0	2.274998	246	7	220
69.0	2.274998	238	4	191
70.0	2.274998	241	8	175
71.0	2.274998	225	3	190
72.0	2.274998	207	3	163
73.0	2.274998	197	6	171
74.0	2.274998	188	4	162
75.0	2.274998	168	1	150
76.0	2.274998	205	2	163
77.0	2.274998	155	2	143
78.0	2.274998	185	1	142
79.0	2.274998	151	1	133
80.0	2.274998	152	2	143
81.0	2.274998	165	0	107
82.0	2.274998	150	2	115
83.0	2.274998	149	3	125
84.0	2.274998	154	5	106
85.0	2.274998	128	1	102
86.0	2.274998	146	5	79
87.0	2.274998	142	2	111
88.0	2.274998	118	3	96
89.0	2.274998	109	1	85
90.0	2.274998	105	2	87
91.0	2.274998	119	1	72
92.0	2.274998	97	2	89
93.0	2.274998	97	1	85
94.0	2.274998	116	1	83
95.0	2.274998	91	0	83
96.0	2.274998	91	0	67
97.0	2.274998	106	0	66
98.0	2.274998	81	2	69
99.0	2.274998	79	1	67
100.0	2.274998	77	1	57
101.0	0	76	1	66
102.0	0	73	1	61
103.0	0	90	1	63
104.0	0	69	0	49
105.0	0	73	1	54
106.0	0	67	0	59
107.0	0	60	1	59
108.0	0	75	2	44
109.0	0	54	3	51
110.0	0	68	1	53
111.0	0	60	0	44
112.0	0	62	0	50
113.0	0	60	0	43
114.0	0	46	0	55
115.0	0	56	2	49
116.0	0	53	1	35
117.0	0	59	0	31
118.0	0	51	0	37
119.0	0	45	1	38
120.0	0	39	1	36
121.0	0	29	0	36
122.0	0	46	1	32
123.0	0	51	0	38
124.0	0	34	0	35
125.0	0	37	0	35
126.0	0	39	2	41
127.0	0	46	2	37
128.0	0	40	0	34
129.0	0	44	1	30
130.0	0	29	0	30
131.0	0	42	0	28
132.0	0	33	1	33
133.0	0	27	0	27
134.0	0	35	0	25
135.0	0	39	1	30
136.0	0	42	0	23
137.0	0	31	1	30
138.0	0	34	1	33
139.0	0	37	0	23
140.0	0	29	0	26
141.0	0	27	0	25
142.0	0	34	0	19
143.0	0	31	1	18
144.0	0	32	1	29
145.0	0	28	0	21
146.0	0	24	0	25
147.0	0	25	0	20
148.0	0	32	0	26
149.0	0	21	0	23
150.0	0	24	0	16
151.0	0	30	0	19
152.0	0	20	0	16
153.0	0	28	0	22
154.0	0	24	0	15
155.0	0	17	0	12
156.0	0	23	0	20
157.0	0	27	0	24
158.0	0	22	1	15
159.0	0	33	0	21
160.0	0	25	0	11
161.0	0	18	0	18
162.0	0	13	0	14
163.0	0	15	1	16
164.0	0	18	0	10
165.0	0	12	0	16
166.0	0	20	0	13
167.0	0	25	0	19
168.0	0	22	0	9
169.0	0	14	0	10
170.0	0	21	0	11
171.0	0	16	0	21
172.0	0	18	0	14
173.0	0	14	0	14
174.0	0	13	1	11
175.0	0	10	0	15
176.0	0	21	0	20
177.0	0	11	0	9
178.0	0	11	0	18
179.0	0	20	0	17
180.0	0	12	0	12
181.0	0	13	0	17
182.0	0	17	0	16
183.0	0	18	1	15
184.0	0	16	0	12
185.0	0	12	0	10
186.0	0	11	0	12
187.0	0	18	0	4
188.0	0	5	1	8
189.0	0	14	0	20
190.0	0	8	0	11
191.0	0	15	0	11
192.0	0	15	0	6
193.0	0	10	0	8
194.0	0	11	0	8
195.0	0	14	0	8
196.0	0	15	0	5
197.0	0	12	0	10
198.0	0	13	0	5
199.0	0	13	0	5
200.0	0	10	0	7
201.0	0	7	0	13
202.0	0	11	0	9
203.0	0	10	0	5
204.0	0	7	0	8
205.0	0	4	0	12
206.0	0	10	0	12
207.0	0	12	0	5
208.0	0	6	1	5
209.0	0	5	0	12
210.0	0	15	0	10
211.0	0	5	0	5
212.0	0	11	0	5
213.0	0	5	0	11
214.0	0	10	0	7
215.0	0	9	0	10
216.0	0	11	0	6
217.0	0	15	0	7
218.0	0	6	0	7
219.0	0	19	1	7
220.0	0	8	2	7
221.0	0	5	0	6
222.0	0	9	0	8
223.0	0	6	0	12
224.0	0	11	0	7
225.0	0	11	0	3
226.0	0	9	0	6
227.0	0	9	0	4
228.0	0	4	0	4
229.0	0	5	0	5
230.0	0	7	0	8
231.0	0	5	0	8
232.0	0	8	0	7
233.0	0	10	0	3
234.0	0	9	0	5
235.0	0	8	0	12
236.0	0	6	0	9
237.0	0	9	0	5
238.0	0	9	0	5
239.0	0	6	0	3
240.0	0	7	0	3
241.0	0	2	0	7
242.0	0	6	0	3
243.0	0	7	0	3
244.0	0	4	0	7
245.0	0	10	0	5
246.0	0	5	0	7
247.0	0	7	0	6
248.0	0	6	0	6
249.0	0	8	0	4
250.0	0	8	0	4
251.0	0	11	0	5
252.0	0	8	0	5
253.0	0	6	0	3
254.0	0	3	0	4
255.0	0	4	0	4
256.0	0	8	0	7
257.0	0	4	0	8
258.0	0	11	0	4
259.0	0	1	0	3
260.0	0	8	0	2
261.0	0	9	0	4
262.0	0	2	0	5
263.0	0	4	0	1
264.0	0	6	0	3
265.0	0	5	0	5
266.0	0	2	0	5
267.0	0	5	0	3
268.0	0	3	0	1
269.0	0	3	0	3
270.0	0	7	0	7
271.0	0	4	0	2
