## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Plus_cre_p53mut.sorted.bam --OUTPUT Plus_cre_p53mut.markdup.sorted.bam --METRICS_FILE Plus_cre_p53mut.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE Mus_musculus.GRCm39.dna_sm.primary_assembly.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 20 03:54:36 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20	60675806	10934572	0	19	19762760	9071195	0.325711	106667238

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.131027	30404965	0	35652103
2.0	1.771398	6951921	5166695	3646013
3.0	2.133967	2009217	1136621	788181
4.0	2.339249	711546	296533	307106
5.0	2.455477	304923	86523	157351
6.0	2.521283	155956	29615	93047
7.0	2.558542	91852	11803	60146
8.0	2.579637	59727	5520	41533
9.0	2.591581	41357	3099	30216
10.0	2.598343	30452	1940	22480
11.0	2.602172	23459	1297	17521
12.0	2.60434	18107	863	13762
13.0	2.605567	14643	640	11020
14.0	2.606262	11953	534	8891
15.0	2.606656	9732	385	7195
16.0	2.606879	7986	331	6064
17.0	2.607005	6758	275	5361
18.0	2.607076	5788	196	4414
19.0	2.607117	4998	175	3811
20.0	2.607139	4221	142	3310
21.0	2.607152	3783	130	2797
22.0	2.60716	3290	107	2617
23.0	2.607164	2917	99	2188
24.0	2.607166	2545	85	1993
25.0	2.607168	2329	60	1713
26.0	2.607168	2016	60	1550
27.0	2.607169	1820	58	1419
28.0	2.607169	1632	36	1335
29.0	2.607169	1494	41	1137
30.0	2.607169	1333	36	1047
31.0	2.607169	1246	26	963
32.0	2.607169	1154	30	899
33.0	2.607169	1014	20	802
34.0	2.607169	1020	21	748
35.0	2.607169	921	22	658
36.0	2.607169	792	16	641
37.0	2.607169	723	10	607
38.0	2.607169	676	10	497
39.0	2.607169	625	14	499
40.0	2.607169	617	19	479
41.0	2.607169	559	17	449
42.0	2.607169	480	9	405
43.0	2.607169	488	10	338
44.0	2.607169	446	15	388
45.0	2.607169	411	5	341
46.0	2.607169	394	6	305
47.0	2.607169	368	11	293
48.0	2.607169	366	8	272
49.0	2.607169	359	9	232
50.0	2.607169	319	10	257
51.0	2.607169	291	5	219
52.0	2.607169	262	3	198
53.0	2.607169	265	4	203
54.0	2.607169	255	5	187
55.0	2.607169	258	5	189
56.0	2.607169	198	2	169
57.0	2.607169	200	3	166
58.0	2.607169	212	6	158
59.0	2.607169	182	6	133
60.0	2.607169	181	3	155
61.0	2.607169	205	1	140
62.0	2.607169	183	2	142
63.0	2.607169	154	1	116
64.0	2.607169	143	3	118
65.0	2.607169	149	0	95
66.0	2.607169	133	3	102
67.0	2.607169	132	4	114
68.0	2.607169	102	1	94
69.0	2.607169	129	2	87
70.0	2.607169	102	0	85
71.0	2.607169	93	1	70
72.0	2.607169	88	1	88
73.0	2.607169	118	4	78
74.0	2.607169	90	0	72
75.0	2.607169	90	3	75
76.0	2.607169	81	1	70
