#Transcript position	Transcript coverage profile
0.0	79600.23034301455
1.0	86425.10232841717
2.0	91632.6834432553
3.0	97610.79387891531
4.0	102635.72072041492
5.0	108326.78813706343
6.0	115831.78184501162
7.0	122715.86117626337
8.0	125407.38815174559
9.0	129571.53384536086
10.0	135178.90010038894
11.0	134672.5277161718
12.0	133888.8497303786
13.0	135398.97184587654
14.0	135079.26269030018
15.0	136235.95054130914
16.0	137096.73193121923
17.0	137280.1156485049
18.0	137938.01399148937
19.0	141841.52424969032
20.0	142190.281964918
21.0	145471.9689610106
22.0	150864.51665013583
23.0	152179.99703588983
24.0	151984.25828391948
25.0	151875.9056396708
26.0	154066.1329852255
27.0	154444.9049418735
28.0	153517.89456262422
29.0	154526.52847578676
30.0	155318.63685282177
31.0	157039.1373163328
32.0	165192.38362071104
33.0	165910.98655428115
34.0	165867.45899253967
35.0	163857.04779235023
36.0	162556.755396473
37.0	163404.61610169188
38.0	162318.42960147728
39.0	160948.70350120732
40.0	159437.0146784264
41.0	157346.02551016872
42.0	153459.61031525224
43.0	153044.6279132249
44.0	152743.0145589246
45.0	151264.7834651099
46.0	150595.01063591387
47.0	149301.58873171522
48.0	149536.44836714008
49.0	150369.37529160178
50.0	147768.3657697901
51.0	146422.78385953663
52.0	147022.95284342492
53.0	144646.35701898747
54.0	141355.3296756088
55.0	137112.51383257168
56.0	134357.3011362952
57.0	135461.34067301636
58.0	135368.0192084001
59.0	135847.57336255684
60.0	137414.65365163158
61.0	138032.29347106413
62.0	137411.87625860472
63.0	135873.69247141026
64.0	133160.18656049328
65.0	130800.2906656042
66.0	128583.2220317293
67.0	128710.02481900655
68.0	127515.61731637579
69.0	127383.90335877497
70.0	127899.46682096472
71.0	127512.99083521216
72.0	128092.91064938974
73.0	125779.03756613928
74.0	124865.96659474245
75.0	123132.77868433688
76.0	120450.56470425347
77.0	117676.63580248493
78.0	113996.56224468556
79.0	113225.00557174896
80.0	113903.12937893673
81.0	113250.3615521852
82.0	112784.76537133688
83.0	110125.51761630143
84.0	108759.96086103629
85.0	105585.7663702358
86.0	100838.58133873688
87.0	97212.60436783802
88.0	91864.51586734712
89.0	88759.2287548433
90.0	81346.32641777002
91.0	72969.1866934309
92.0	61230.59774288016
93.0	49289.33601871863
94.0	40975.55234837504
95.0	34022.62021734694
96.0	25001.479054850686
97.0	19234.319831270484
98.0	10114.875063549733
99.0	2921.7585318600295
