#Transcript position	Transcript coverage profile
0.0	342336.89429200895
1.0	363248.2956391263
2.0	383286.4153604947
3.0	402266.6747697178
4.0	418407.1632401135
5.0	433172.86863165826
6.0	448043.99498732126
7.0	461533.77330301085
8.0	469706.7649212865
9.0	477369.800946556
10.0	485917.89769260027
11.0	488045.05123207666
12.0	489608.3200005298
13.0	492604.7579431428
14.0	494079.10542682227
15.0	497647.76095992
16.0	500574.4591018138
17.0	502578.3976567954
18.0	505144.9434313709
19.0	509297.9465671387
20.0	509799.9167295173
21.0	512155.4750280694
22.0	517964.21523389535
23.0	520129.31332719844
24.0	520023.96733148955
25.0	519181.82306747505
26.0	522242.67314892495
27.0	522342.57293799386
28.0	520840.4722783155
29.0	521890.18632660905
30.0	522569.1475128191
31.0	524806.0172573803
32.0	531687.0198208424
33.0	530398.4386720116
34.0	530146.8467416619
35.0	528556.4617425455
36.0	525922.7532378844
37.0	525154.6499888052
38.0	522013.40006700484
39.0	520192.825695207
40.0	518258.884428334
41.0	514704.63936319744
42.0	510717.6125586293
43.0	510560.78908882407
44.0	509124.7314452131
45.0	506333.76367664366
46.0	505097.6276978827
47.0	503067.60325813823
48.0	502909.8561321216
49.0	503096.5155435566
50.0	499282.682397106
51.0	496732.16295997764
52.0	496048.55241289845
53.0	493124.7347042602
54.0	487853.2927548942
55.0	481864.8794863766
56.0	477386.89443770587
57.0	478047.82362788625
58.0	477403.99198293634
59.0	476155.73618561745
60.0	476933.3476105962
61.0	476429.77324876783
62.0	475200.1397384943
63.0	473384.9768956868
64.0	470216.5683119783
65.0	467006.39685005473
66.0	463648.4461131937
67.0	462554.38412846864
68.0	460238.93380467687
69.0	458807.94667467714
70.0	457218.24841210333
71.0	456267.2733084205
72.0	455774.469455138
73.0	451236.88520867954
74.0	449860.4988730237
75.0	448473.412301905
76.0	444915.55967038986
77.0	440912.53739984403
78.0	435325.0863744308
79.0	433424.39315816085
80.0	432357.0287249995
81.0	429004.270747671
82.0	426510.83676756336
83.0	420248.64410523727
84.0	412819.3544416202
85.0	405072.431472548
86.0	393458.99342162575
87.0	381398.9351395548
88.0	365229.9276090228
89.0	350241.62885448587
90.0	328256.3695715472
91.0	303379.62106773176
92.0	273139.955439522
93.0	242725.41682534415
94.0	215022.6479928634
95.0	187803.52266880329
96.0	154575.69220201665
97.0	118857.48060042926
98.0	73160.17018855803
99.0	24031.198916377078
