#Transcript position	Transcript coverage profile
0.0	62804.71677908327
1.0	67708.27749915082
2.0	71882.6035233
3.0	76239.45909766153
4.0	79957.0796523467
5.0	84431.63600514334
6.0	90085.6137938481
7.0	94295.00069317473
8.0	95920.06277405053
9.0	99308.2303175581
10.0	102647.0750064152
11.0	102342.67436856113
12.0	101507.18272367786
13.0	102511.67743349796
14.0	103088.01831871405
15.0	104305.78932265718
16.0	103711.95393659838
17.0	104897.53720058905
18.0	105374.92152139553
19.0	107806.38548475834
20.0	107960.20707750438
21.0	108690.78463690725
22.0	111471.11184238803
23.0	111962.6799051707
24.0	111406.61137320554
25.0	111665.44147302955
26.0	112155.00088394145
27.0	112730.37217775277
28.0	112819.28810162612
29.0	113689.61470789836
30.0	113569.62509189865
31.0	115561.95535306094
32.0	120760.16383043707
33.0	120442.97516562851
34.0	120756.62454976082
35.0	118748.70761260281
36.0	117937.35500529787
37.0	117714.84175438342
38.0	116275.39593719583
39.0	115591.93741792391
40.0	113531.73645435629
41.0	111380.42545850931
42.0	109731.12359237569
43.0	109620.96613632888
44.0	109075.8288867778
45.0	108757.40303627693
46.0	108612.90223450308
47.0	107932.71510141923
48.0	107630.80543659504
49.0	108315.85601980299
50.0	107549.6040128804
51.0	106926.5056073079
52.0	105660.28150086306
53.0	104193.69351506169
54.0	101451.81198828449
55.0	98619.3173080623
56.0	97214.66306475777
57.0	98012.70775383164
58.0	98088.2678556458
59.0	98492.18961455209
60.0	99367.81715962754
61.0	99449.95692060921
62.0	98269.75218246924
63.0	97168.5190901199
64.0	95552.91505397172
65.0	94448.94500848306
66.0	92972.25409781816
67.0	93274.37315447112
68.0	92535.17241466697
69.0	92602.48480510784
70.0	92958.85949796168
71.0	92813.2758109165
72.0	93593.52614985572
73.0	92236.61883136499
74.0	91956.80648123202
75.0	90592.15577972765
76.0	88567.15206603982
77.0	87151.1462203173
78.0	85830.09341474851
79.0	85128.12411768429
80.0	84987.1502099715
81.0	84377.67552093018
82.0	83508.90778375755
83.0	80831.91649422939
84.0	78421.21172154338
85.0	76798.06223739573
86.0	73332.30807126894
87.0	70571.21689242359
88.0	67072.05235564325
89.0	63888.18540515981
90.0	59758.431115586325
91.0	54685.97696046538
92.0	47087.869155393004
93.0	39153.76369658285
94.0	33663.55242356775
95.0	27709.730804608946
96.0	21278.878745775106
97.0	15605.25999326527
98.0	8405.412702801961
99.0	2308.5775056806933
