#Transcript position	Transcript coverage profile
0.0	308302.32925028354
1.0	326932.17978997936
2.0	345279.9414884158
3.0	361258.3329513688
4.0	374141.85960123665
5.0	386394.72951635777
6.0	398577.818998595
7.0	407868.5448608239
8.0	413815.99074153043
9.0	419887.28909738554
10.0	425413.55071333604
11.0	426745.09998286376
12.0	427797.2279868809
13.0	429733.1059549021
14.0	431240.52264449454
15.0	433934.9893850897
16.0	435177.14941051207
17.0	436875.16711625626
18.0	438211.3889652708
19.0	440264.44013642217
20.0	440508.8648522744
21.0	440151.87482685904
22.0	442907.98732647987
23.0	444055.39027315646
24.0	443072.85895167536
25.0	442168.2259817436
26.0	443122.17207508354
27.0	442786.3910371762
28.0	441752.17649735644
29.0	442367.87163735623
30.0	442107.0520421871
31.0	443333.4239515695
32.0	446581.6553693495
33.0	444555.212980993
34.0	444248.8795983598
35.0	441881.4277012761
36.0	439387.8833402614
37.0	437800.1485735053
38.0	434467.0816680779
39.0	432778.86148309364
40.0	429858.5843785076
41.0	426208.64447218075
42.0	424122.34251507994
43.0	423854.15168845834
44.0	422501.5030590399
45.0	420774.0026566313
46.0	419894.4357383698
47.0	418233.04478667135
48.0	417421.6746859962
49.0	417084.53284660034
50.0	415319.421683591
51.0	413773.1955386085
52.0	411531.6268878999
53.0	409107.4827874231
54.0	404471.223311246
55.0	400057.3211515429
56.0	397308.09595176624
57.0	397543.88364088483
58.0	396860.00563691434
59.0	395076.2255529282
60.0	394634.60313167545
61.0	393169.00355331186
62.0	391823.60031979356
63.0	390423.12540405436
64.0	388162.54359557224
65.0	385974.57389998867
66.0	383362.0167684661
67.0	382552.2381863494
68.0	380432.9496215697
69.0	379387.1200408787
70.0	377941.10153378407
71.0	377305.73433983914
72.0	377131.3469252571
73.0	373767.8380374809
74.0	372837.92669599527
75.0	371121.64697671635
76.0	368044.7274551225
77.0	365689.81536740623
78.0	362867.3292078768
79.0	361145.50180515094
80.0	359625.51188927353
81.0	356680.8607644954
82.0	354310.2565936727
83.0	348674.98886119167
84.0	341874.2565777746
85.0	336468.3659578274
86.0	326889.4465374425
87.0	316375.7913191467
88.0	303083.6319925409
89.0	289777.0875249484
90.0	272938.9809826249
91.0	253503.4516894509
92.0	229850.1027971177
93.0	205904.2019865323
94.0	183501.21861271467
95.0	160499.6602613623
96.0	132471.1069437346
97.0	101389.88834649845
98.0	62749.34027017544
99.0	20478.150602629667
