gene_id	gene_name	Minus_cre_p53mut	Plus_cre_p53mut
ENSMUSG00000000001	Gnai3	10994.001	12017
ENSMUSG00000000003	Pbsn	0	0
ENSMUSG00000000028	Cdc45	1035.001	625
ENSMUSG00000000031	H19	6	1
ENSMUSG00000000037	Scml2	11	0
ENSMUSG00000000049	Apoh	205	10
ENSMUSG00000000056	Narf	3008.001	2689
ENSMUSG00000000058	Cav2	3146	1524
ENSMUSG00000000078	Klf6	6159.061	4245
ENSMUSG00000000085	Scmh1	7725.002	6735
ENSMUSG00000000088	Cox5a	5978.95	6350.853
ENSMUSG00000000093	Tbx2	431	21
ENSMUSG00000000094	Tbx4	31.156	2.964
ENSMUSG00000000103	Zfy2	0	0
ENSMUSG00000000120	Ngfr	779	292
ENSMUSG00000000125	Wnt3	4	0
ENSMUSG00000000126	Wnt9a	24	9
ENSMUSG00000000127	Fer	1172	1427
ENSMUSG00000000131	Xpo6	5861.001	4856.988
ENSMUSG00000000134	Tfe3	3120.968	2356.998
ENSMUSG00000000142	Axin2	169	119
ENSMUSG00000000148	Brat1	1431.001	1038.086
ENSMUSG00000000149	Gna12	4430.707	3286.774
ENSMUSG00000000154	Slc22a18	1045	904
ENSMUSG00000000157	Itgb2l	253	26
ENSMUSG00000000159	Igsf5	2352.17	1282.246
ENSMUSG00000000167	Pih1d2	221.001	168.807
ENSMUSG00000000168	Dlat	5266.001	5734
ENSMUSG00000000171	Sdhd	6877	6908
ENSMUSG00000000182	Fgf23	2	1
ENSMUSG00000000183	Fgf6	3	0
ENSMUSG00000000184	Ccnd2	485.784	354.848
ENSMUSG00000000194	Gpr107	5879.995	5971.949
ENSMUSG00000000197	Nalcn	12	0
ENSMUSG00000000202	Btbd17	539.18	484.999
ENSMUSG00000000204	Slfn4	329.071	51
ENSMUSG00000000214	Th	1	0
ENSMUSG00000000215	Ins2	6.949	0
ENSMUSG00000000216	Scnn1g	1715	1150
ENSMUSG00000000223	Drp2	36	20
ENSMUSG00000000244	Tspan32	36.026	2
ENSMUSG00000000247	Lhx2	31	3
ENSMUSG00000000248	Clec2g	5	0
ENSMUSG00000000253	Gmpr	2768.606	2055.76
ENSMUSG00000000263	Glra1	3	0
ENSMUSG00000000266	Mid2	3120	2388
ENSMUSG00000000275	Trim25	15047.098	14021
ENSMUSG00000000276	Dgke	899.314	819
ENSMUSG00000000278	Scpep1	6472	10478.998
ENSMUSG00000000282	Mnt	3841.4	2839.001
ENSMUSG00000000290	Itgb2	528.999	77
ENSMUSG00000000295	Hddc2	1149.001	1010.999
