gene_id	gene_name	Minus_cre_p53mut	Plus_cre_p53mut
ENSMUSG00000000001	Gnai3	3021.824	3016.666
ENSMUSG00000000003	Pbsn	558.40975	558.40975
ENSMUSG00000000028	Cdc45	1841.43087834746	1799.64680316888
ENSMUSG00000000031	H19	2044.824	1693.666
ENSMUSG00000000037	Scml2	962.031890159488	962.031890159488
ENSMUSG00000000049	Apoh	926.312935759092	944.666
ENSMUSG00000000056	Narf	3892.45258570477	4032.10144745552
ENSMUSG00000000058	Cav2	2461.42047910299	2382.7435919356
ENSMUSG00000000078	Klf6	3634.89067810099	3223.78715374238
ENSMUSG00000000085	Scmh1	938.298003438151	1058.54996200174
ENSMUSG00000000088	Cox5a	418.42126341556	410.615356527695
ENSMUSG00000000093	Tbx2	3385.824	3380.666
ENSMUSG00000000094	Tbx4	2912.824	2765.666
ENSMUSG00000000103	Zfy2	2588.245	2588.245
ENSMUSG00000000120	Ngfr	3205.824	3200.666
ENSMUSG00000000125	Wnt3	2835.824	2835.824
ENSMUSG00000000126	Wnt9a	3077.824	3072.666
ENSMUSG00000000127	Fer	2705.09386642233	2687.03739251158
ENSMUSG00000000131	Xpo6	4047.88978327272	4005.62911712495
ENSMUSG00000000134	Tfe3	2922.30969656666	2871.16800669069
ENSMUSG00000000142	Axin2	3127.35245442573	4014.666
ENSMUSG00000000148	Brat1	3031.48037231742	2999.40028420179
ENSMUSG00000000149	Gna12	3175.824	3150.86467388452
ENSMUSG00000000154	Slc22a18	1212.58577949285	1201.95658638949
ENSMUSG00000000157	Itgb2l	1512.0668652755	1681.26966179388
ENSMUSG00000000159	Igsf5	1386.11866202821	1365.08644594015
ENSMUSG00000000167	Pih1d2	935.23783503477	815.440255289757
ENSMUSG00000000168	Dlat	2475.88894056528	2723.53480412104
ENSMUSG00000000171	Sdhd	990.824	985.666
ENSMUSG00000000182	Fgf23	1573.824	1568.666
ENSMUSG00000000183	Fgf6	4416.824	4416.824
ENSMUSG00000000184	Ccnd2	6053.9664192236	4587.70491434905
ENSMUSG00000000194	Gpr107	4666.73784566531	4337.41528788818
ENSMUSG00000000197	Nalcn	4823.20620283458	4823.20620283458
ENSMUSG00000000202	Btbd17	1505.70647179461	1527.20471868455
ENSMUSG00000000204	Slfn4	3578.82061618391	3712.666
ENSMUSG00000000214	Th	771.824	771.824
ENSMUSG00000000215	Ins2	381.751900717176	381.751900717176
ENSMUSG00000000216	Scnn1g	2750.824	2745.666
ENSMUSG00000000223	Drp2	4615.83234392137	5030.01016722372
ENSMUSG00000000244	Tspan32	2136.42953931632	1571.2388314239
ENSMUSG00000000247	Lhx2	2427.25610253895	2594.666
ENSMUSG00000000248	Clec2g	2163.824	2163.824
ENSMUSG00000000253	Gmpr	1324.90540724804	1319.77664619357
ENSMUSG00000000263	Glra1	1556.824	1556.824
ENSMUSG00000000266	Mid2	5317.35891982552	4906.57199951514
ENSMUSG00000000275	Trim25	4971.44025553947	4795.86570629133
ENSMUSG00000000276	Dgke	5595.26086187825	5529.39381864745
ENSMUSG00000000278	Scpep1	1856.824	1851.666
ENSMUSG00000000282	Mnt	4063.83849883831	4176.16547505131
ENSMUSG00000000290	Itgb2	2586.30645455445	2724.666
ENSMUSG00000000295	Hddc2	645.813321959755	630.614766049799
ENSMUSG00000000296	Tpd52l1	855.315023372425	860.181188594289
ENSMUSG00000000301	Pemt	490.703807366241	442.047838508854
ENSMUSG00000000303	Cdh1	4182.29476325286	4096.98660309312
ENSMUSG00000000305	Cdh4	5821.55755044483	5754.11084199361
ENSMUSG00000000308	Ckmt1	1206.94984950058	1234.31211293672
ENSMUSG00000000317	Bcl6b	2487.7929426645	3120.666
ENSMUSG00000000318	Clec10a	448.171658459601	437.472
ENSMUSG00000000320	Alox12	2411.92745673091	2434.87416258078
ENSMUSG00000000326	Comt	1274.25405838823	1263.99088773096
ENSMUSG00000000339	Rtca	1250.15175029787	1257.69549106603
ENSMUSG00000000340	Dbt	3043.23834360163	2580.20208542356
ENSMUSG00000000346	Dazap2	1870.79142995391	1867.0916826814
ENSMUSG00000000355	Mcts1	505.104060750398	498.1244084323
ENSMUSG00000000359	Rem1	922.8615	922.8615
ENSMUSG00000000365	Rnf17	4056.14546672431	4056.14546672431
ENSMUSG00000000374	Trappc10	4709.79553053946	4663.93147659509
ENSMUSG00000000378	Ccm2	1355.49311906181	1300.05444718552
ENSMUSG00000000381	Wap	435.317927963847	435.317927963847
ENSMUSG00000000384	Tbrg4	1416.98020379126	1599.0134213629
ENSMUSG00000000385	Tmprss2	2961.82067135764	2889.30659597691
ENSMUSG00000000386	Mx1	2353.14939706755	2284.22176287501
ENSMUSG00000000392	Fap	1673.99671170524	2448.40703696298
ENSMUSG00000000394	Gcg	595.676	595.676
ENSMUSG00000000399	Ndufa9	1193.49453057071	1197.99231510799
ENSMUSG00000000402	Egfl6	2463.824	2458.666
ENSMUSG00000000409	Lck	883.017786064247	887.506915287283
ENSMUSG00000000411	Tssk3	1037.245	1037.245
ENSMUSG00000000416	Cttnbp2	4690.47901754781	2094.34490303596
ENSMUSG00000000420	Galnt1	3347.98042574525	3248.14057121731
ENSMUSG00000000435	Myf5	1842.824	1837.666
ENSMUSG00000000439	Mkrn2	4725.96765165481	3280.06920379187
ENSMUSG00000000440	Pparg	1748.61526309547	1879.666
ENSMUSG00000000441	Raf1	2521.42001781451	2558.01823723531
ENSMUSG00000000486	Septin1	719.625386464592	525.869904737866
ENSMUSG00000000489	Pdgfb	2447.71225993386	2613.18228986221
ENSMUSG00000000530	Acvrl1	2156.83816193696	1956.41426824028
ENSMUSG00000000531	Tamalin	1792.824	1787.666
ENSMUSG00000000532	Acvr1b	4177.824	4172.666
ENSMUSG00000000538	Tom1l2	4311.3222176826	4161.95538638041
ENSMUSG00000000544	Gpa33	2274.824	2269.666
ENSMUSG00000000552	Zfp385a	2005.80981898203	1984.44631158912
ENSMUSG00000000555	Itga5	4017.23106014026	3856.55773146117
ENSMUSG00000000560	Gabra2	5611.824	3621.666
ENSMUSG00000000561	Wdr77	2026.03263640696	1967.00835211578
ENSMUSG00000000562	Adora3	1318.06819826281	1318.06819826281
ENSMUSG00000000563	Atp5pb	1352.71228053374	1341.15435872505
ENSMUSG00000000567	Sox9	3894.824	3889.666
ENSMUSG00000000568	Hnrnpd	1037.41901131506	1109.55419387776
ENSMUSG00000000579	Dynlt1c	867.005234366441	1174.81786934974
ENSMUSG00000000581	C1d	620.244950383024	600.800984344768
ENSMUSG00000000594	Gm2a	3886.824	3881.666
ENSMUSG00000000600	Krit1	3124.60829317976	2881.31266259331
ENSMUSG00000000605	Clcn4	3853.37220605462	3895.83802967154
ENSMUSG00000000606	Vmn2r88	4167.51772727273	4167.51772727273
ENSMUSG00000000617	Grm6	1972.77479489814	1972.77479489815
ENSMUSG00000000627	Sema4f	3833.22614370587	3840.666
ENSMUSG00000000628	Hk2	5162.97211045914	5065.32086785816
ENSMUSG00000000631	Myo18a	5335.0184435925	5753.84423505596
ENSMUSG00000000632	Sez6	2857.71798850543	2857.71798850543
ENSMUSG00000000673	Haao	1072.24425607201	306.78
ENSMUSG00000000682	Cd52	288.5208799169	285.723
ENSMUSG00000000686	Abhd15	1665.222972877	2416.666
ENSMUSG00000000690	Hoxb6	1453.40512101978	1424.04198784885
ENSMUSG00000000693	Loxl3	3857.824	3327.29864643257
ENSMUSG00000000701	Tcl1b5	812.245	812.245
ENSMUSG00000000706	Btn1a1	1930.59737477575	2211.18216907297
ENSMUSG00000000708	Kat2b	4162.19243982479	4273.60459258703
ENSMUSG00000000711	Rab5b	2885.82022225389	2911.81049756326
ENSMUSG00000000724	Cryba1	538.934	538.934
ENSMUSG00000000730	Dnmt3l	202.949	202.949
ENSMUSG00000000731	Aire	1699.31079632221	686.582820593747
ENSMUSG00000000732	Icosl	2415.10608097799	2446.48265079576
ENSMUSG00000000738	Spg7	1833.96447904584	1785.59588640651
ENSMUSG00000000739	Sult5a1	3564.824	3564.824
ENSMUSG00000000740	Rpl13	544.422551649849	538.093430888841
ENSMUSG00000000743	Chmp1a	1769.42874909545	1824.8931920353
ENSMUSG00000000751	Rpa1	1618.01440722089	1525.45804765744
ENSMUSG00000000753	Serpinf1	1075.96313717579	1038.32901819474
ENSMUSG00000000759	Tubgcp3	3055.88141408929	3235.84145867654
ENSMUSG00000000766	Oprm1	1106.74805708899	1059.10424431666
ENSMUSG00000000776	Polr3d	1505.27883610179	1616.31390424655
ENSMUSG00000000782	Tcf7	2077.84172457502	2112.93065249155
ENSMUSG00000000787	Ddx3x	4222.65069315724	4165.24179242209
ENSMUSG00000000791	Il12rb1	346.947323845244	2495.666
ENSMUSG00000000792	Slc5a5	2687.824	2682.666
ENSMUSG00000000794	Kcnn3	3626.34619760907	8068.666
ENSMUSG00000000804	Usp32	5414.68119122459	5472.01554478231
ENSMUSG00000000805	Car4	920.489602836141	920.489602836141
ENSMUSG00000000811	Txnrd3	2595.824	2590.666
ENSMUSG00000000817	Fasl	946.264	946.264
ENSMUSG00000000823	Zfp512b	2706.92893464283	2376.76347857231
ENSMUSG00000000826	Dnajc5	3271.60121775036	3019.93061504395
ENSMUSG00000000827	Tpd52l2	1226.34144289296	1006.21313068016
ENSMUSG00000000838	Fmr1	3468.32331560231	3603.23503383928
ENSMUSG00000000861	Bcl11a	3662.3487230487	2815.666
ENSMUSG00000000869	Il4	314.653	309.444
ENSMUSG00000000876	Pxmp4	1898.61435731171	1786.20913522018
ENSMUSG00000000881	Dlg3	3017.42350507173	3136.26863198627
ENSMUSG00000000884	Gnb1l	1525.07500361193	1184.37407324194
ENSMUSG00000000889	Dbh	2311.824	2311.824
ENSMUSG00000000901	Mmp11	1940.44627707129	1931.64559467608
ENSMUSG00000000902	Smarcb1	1532.9693007164	1475.62523599118
ENSMUSG00000000903	Vpreb3	479.305001303269	479.30500130327
ENSMUSG00000000915	Hip1r	5712.55527344891	5564.13199167859
ENSMUSG00000000916	Nsun5	1360.80014633695	1560.18231183661
ENSMUSG00000000934	Top1mt	1635.19981580134	1632.26802245187
ENSMUSG00000000938	Hoxa10	2324.824	2324.824
ENSMUSG00000000942	Hoxa4	1353.824	1353.824
ENSMUSG00000000948	Gm38393	3696.824	3691.666
ENSMUSG00000000957	Mmp14	2266.70067948921	2350.666
ENSMUSG00000000958	Slc7a7	1429.92248546291	1193.41161181239
ENSMUSG00000000959	Oxa1l	1966.77859596058	2003.45587492679
ENSMUSG00000000976	Heatr6	4032.0566853312	4369.24424389897
ENSMUSG00000000982	Ccl3	524.577	524.577
ENSMUSG00000000983	Wfdc18	297.7300580483	291.785
ENSMUSG00000001014	Icam4	787.824	733.25419671801
ENSMUSG00000001016	Ilf2	1661.19919975027	1673.57110920901
ENSMUSG00000001017	Chtop	1850.35491995554	1832.35094470563
ENSMUSG00000001018	Snapin	1231.6583570149	1267.367732505
ENSMUSG00000001020	S100a4	274.128044751183	271.788
ENSMUSG00000001021	S100a3	385.156030764796	396.75773633745
ENSMUSG00000001023	S100a5	214.697	214.697
ENSMUSG00000001025	S100a6	464.973958758421	482.362653436066
ENSMUSG00000001027	Scn4a	5250.37456079903	6352.666
ENSMUSG00000001029	Icam2	1026.54163785198	934.871949782602
ENSMUSG00000001034	Mapk7	2354.39938134951	2372.38902249199
ENSMUSG00000001036	Epn2	3297.17741086821	3346.06633635523
ENSMUSG00000001039	B9d1	562.117172473356	556.813054466224
ENSMUSG00000001052	Sec24b	3007.1392403673	3065.23728521549
ENSMUSG00000001053	N4bp3	2008.75930614764	1915.99300731349
ENSMUSG00000001054	Rmnd5b	1573.4827365852	1659.41461879941
ENSMUSG00000001056	Nhp2	791.589908682387	786.317361452353
ENSMUSG00000001062	Vps9d1	2256.84494890817	2426.93022307426
ENSMUSG00000001065	Zfp276	2796.09600623899	2642.73531573599
ENSMUSG00000001076	C1ql4	1233.824	1233.824
ENSMUSG00000001082	Mfsd10	1131.62929820518	1243.97673215349
ENSMUSG00000001089	Luzp1	7185.34300758573	7074.61972574553
ENSMUSG00000001095	Slc13a2	2171.824	2166.666
ENSMUSG00000001098	Kctd10	2273.53577775347	2234.91849738693
ENSMUSG00000001100	Poldip2	1530.93923837487	1589.84079412804
ENSMUSG00000001103	Sebox	1059.824	1059.824
ENSMUSG00000001105	Ift20	573.77232483907	534.595515646619
ENSMUSG00000001119	Col6a1	3361.27545404394	3854.666
ENSMUSG00000001120	Pcbp3	1800.81963894228	1779.10534598002
ENSMUSG00000001123	Lgals9	1276.00779459053	1279.78113372779
ENSMUSG00000001127	Araf	1774.80184241275	1518.50132035262
ENSMUSG00000001128	Cfp	1257.2595063076	1264.38816682849
ENSMUSG00000001131	Timp1	611.167983444086	612.88329849098
ENSMUSG00000001134	Uxt	443.775933973291	546.97953945053
ENSMUSG00000001138	Cnnm3	3287.83789942425	3712.49359863857
ENSMUSG00000001143	Lman2l	2260.28314131718	2060.46871671689
ENSMUSG00000001150	Mcm3ap	5974.61737189253	6150.66245479925
ENSMUSG00000001151	Pcnt	7811.75694944632	8635.6743549456
ENSMUSG00000001155	Ftcd	1794.17332442573	1794.17332442573
ENSMUSG00000001156	Mxd1	3946.72701524183	3968.7093548964
ENSMUSG00000001157	Gmcl1	2663.61576325122	2678.11353726713
ENSMUSG00000001158	Snrnp27	640.58042799354	623.136636037025
ENSMUSG00000001166	Oas1c	1819.70050012215	1918.83578937981
ENSMUSG00000001168	Oas1h	1462.824	1457.666
ENSMUSG00000001173	Ocrl	4691.86320140951	4771.97628182093
ENSMUSG00000001175	Calm1	1610.66085090325	1462.05507583084
ENSMUSG00000001211	Agpat3	2117.36757952271	1913.79594906246
ENSMUSG00000001225	Slc26a3	2244.95934949922	2244.95934949922
ENSMUSG00000001227	Sema6b	3340.71361069149	3374.31220774376
ENSMUSG00000001228	Uhrf1	3137.47623007334	3131.28787698949
ENSMUSG00000001229	Dpp9	3204.53186355757	3179.92392969278
ENSMUSG00000001240	Ramp2	889.527996394037	842.913111524376
ENSMUSG00000001247	Lsr	1757.15110581368	1758.33794284096
ENSMUSG00000001248	Gramd1a	2702.16864565556	2204.30411232477
ENSMUSG00000001249	Hpn	1433.57965884239	1508.83087985999
ENSMUSG00000001260	Gabrg1	3224.45481817553	3224.45481817553
ENSMUSG00000001270	Ckb	1490.19622054195	1342.0895300292
ENSMUSG00000001280	Sp1	6713.12408624121	6458.51418650382
ENSMUSG00000001281	Itgb7	2442.824	2437.666
ENSMUSG00000001285	Myg1	839.994249382709	882.486006703295
ENSMUSG00000001288	Rarg	2447.37072861658	2405.37463858624
ENSMUSG00000001289	Pfdn5	633.951823618357	680.733887230519
ENSMUSG00000001300	Efnb2	4551.3964742535	4506.27264759652
ENSMUSG00000001305	Rrp15	1117.25137913481	1091.7018471091
ENSMUSG00000001313	Rnd2	1158.36222215516	1163.20077331101
ENSMUSG00000001323	Srr	3089.06035825581	2965.62796238161
ENSMUSG00000001333	Sync	1827.42749496007	1811.4072250853
ENSMUSG00000001334	Fndc5	2837.824	2832.666
ENSMUSG00000001348	Acp5	1119.78478333952	1114.70625896005
ENSMUSG00000001349	Cnn1	793.252927559732	2135.666
ENSMUSG00000001366	Fbxo9	1542.33963834158	1636.42430262745
ENSMUSG00000001376	Vps50	3446.80224873031	3518.981670171
ENSMUSG00000001380	Hars	1736.97979007131	1726.32393338029
ENSMUSG00000001383	Zmat2	1844.72193923059	1919.03844323129
ENSMUSG00000001403	Ube2c	731.832197634436	724.370523203251
ENSMUSG00000001415	Smg5	2719.16127100899	3373.69829798291
ENSMUSG00000001416	Cct3	1714.06485546273	1728.256397389
ENSMUSG00000001418	Glmp	805.096700745544	733.993034824014
ENSMUSG00000001419	Mef2d	3631.31093528003	3539.26451366641
ENSMUSG00000001420	Tmem79	1902.93822126428	1963.32920295987
ENSMUSG00000001424	Snd1	3158.18764246235	3222.79863577516
ENSMUSG00000001435	Col18a1	4476.39243864713	4473.6538937501
ENSMUSG00000001436	Slc19a1	1780.45893890171	1677.91253633848
ENSMUSG00000001440	Kpnb1	4468.18311057874	4661.71762419336
ENSMUSG00000001441	Npepps	3421.20698316634	3459.15839945595
ENSMUSG00000001444	Tbx21	2247.824	2247.824
ENSMUSG00000001445	Mrpl10	1467.824	1462.666
ENSMUSG00000001467	Cyp51	3191.45672686215	2976.09439328805
ENSMUSG00000001472	Tcf25	3019.16129147043	2738.37148845166
ENSMUSG00000001473	Tubb6	1517.11371625584	1512.666
ENSMUSG00000001482	Def8	2414.19649319379	2665.76250447268
ENSMUSG00000001493	Meox1	1987.824	1987.824
ENSMUSG00000001494	Sost	1825.824	1825.824
ENSMUSG00000001496	Nkx2-1	2001.824	2001.824
ENSMUSG00000001497	Pax9	3385.3181615479	3406.17085434065
ENSMUSG00000001504	Irx2	2122.61281189241	2379.666
ENSMUSG00000001506	Col1a1	3773.01971155757	5684.666
ENSMUSG00000001507	Itga3	4189.35551553132	4335.92907053638
ENSMUSG00000001508	Sgca	439.009942302743	439.009942302743
ENSMUSG00000001510	Dlx3	2366.824	2361.666
ENSMUSG00000001517	Foxm1	3401.1843059264	3193.1769082683
ENSMUSG00000001518	Itfg2	1887.59621951607	1917.91996860471
